mss,trial,seconds
100,1,143.39308749997872
100,2,150.69523889999255
100,3,145.67749159998493
100,4,139.2833466999873
100,5,159.45901140000205
200,1,80.25883890001569
200,2,74.05222250000224
200,3,72.76999840000644
200,4,65.928761
200,5,69.99212859998806
300,1,53.21868839999661
300,2,55.744687499973224
300,3,56.578209200000856
300,4,57.93100149999373
300,5,51.26197449999745
400,1,44.68635779997567
400,2,38.22645369998645
400,3,41.1202071
400,4,41.108039600017946
400,5,38.00995390000753
500,1,28.585043200000655
500,2,30.767320799990557
500,3,31.67640689999098
500,4,32.38299539999571
500,5,34.09099939998123
600,1,3.048716199991759
600,2,3.0621498999826144
600,3,3.0972011999983806
600,4,3.024951900006272
600,5,3.0921472999907564
700,1,3.069798800017452
700,2,3.117864700005157
700,3,3.1000176000234205
700,4,3.0916053999972064
700,5,3.0607268000021577
800,1,3.098369899991667
800,2,3.115681499999482
800,3,3.0470248000056017
800,4,3.0959270000166725
800,5,3.085899999976391
900,1,3.079878699994879
900,2,3.0907391000073403
900,3,3.1052286999765784
900,4,3.1258727999811526
900,5,3.0775826000026427
1000,1,3.0902421999780927
1000,2,3.1094899000017904
1000,3,3.1121470000070985
1000,4,3.0963913000014145
1000,5,3.094322099990677
